,yearmonth,count,class
0,1970-02-01,7,high
1,1970-02-01,7,high
2,1970-03-01,7,high
3,1970-03-01,7,high
4,1970-04-01,2,high
5,1970-04-01,2,high
6,1970-05-01,6,high
7,1970-05-01,6,high
8,1970-06-01,5,high
9,1970-06-01,5,high
10,1970-07-01,4,high
11,1970-07-01,4,high
12,1970-08-01,5,high
13,1970-08-01,5,high
14,1970-09-01,8,high
15,1970-09-01,8,high
16,1970-10-01,9,high
17,1970-10-01,9,high
18,1970-11-01,5,high
19,1970-11-01,5,high
20,1970-12-01,8,high
21,1970-12-01,8,high
22,1971-01-01,6,high
23,1971-01-01,6,high
24,1971-02-01,5,high
25,1971-02-01,5,high
26,1971-03-01,9,high
27,1971-03-01,9,high
28,1971-04-01,9,high
29,1971-04-01,9,high
30,1971-05-01,3,high
31,1971-05-01,3,high
32,1971-06-01,12,high
33,1971-06-01,12,high
34,1971-07-01,13,high
35,1971-07-01,13,high
36,1971-08-01,12,high
37,1971-08-01,12,high
38,1971-09-01,6,high
39,1971-09-01,6,high
40,1971-10-01,10,high
41,1971-10-01,10,high
42,1971-11-01,5,high
43,1971-11-01,5,high
44,1971-12-01,4,high
45,1971-12-01,4,high
46,1972-01-01,8,high
47,1972-01-01,8,high
48,1972-02-01,5,high
49,1972-02-01,5,high
50,1972-03-01,7,high
51,1972-03-01,7,high
52,1972-04-01,8,high
53,1972-04-01,8,high
54,1972-05-01,8,high
55,1972-05-01,8,high
56,1972-06-01,7,high
57,1972-06-01,7,high
58,1972-07-01,7,high
59,1972-07-01,7,high
60,1972-08-01,7,high
61,1972-08-01,7,high
62,1972-09-01,8,high
63,1972-09-01,8,high
64,1972-10-01,7,high
65,1972-10-01,7,high
66,1972-11-01,7,high
67,1972-11-01,7,high
68,1972-12-01,4,high
69,1972-12-01,4,high
70,1973-01-01,10,high
71,1973-01-01,10,high
72,1973-02-01,7,high
73,1973-02-01,7,high
74,1973-03-01,9,high
75,1973-03-01,9,high
76,1973-04-01,16,high
77,1973-04-01,16,high
78,1973-05-01,7,high
79,1973-05-01,7,high
80,1973-06-01,7,high
81,1973-06-01,7,high
82,1973-07-01,10,high
83,1973-07-01,10,high
84,1973-08-01,9,high
85,1973-08-01,9,high
86,1973-09-01,12,high
87,1973-09-01,12,high
88,1973-10-01,9,high
89,1973-10-01,9,high
90,1973-11-01,8,high
91,1973-11-01,8,high
92,1973-12-01,8,high
93,1973-12-01,8,high
94,1974-01-01,8,high
95,1974-01-01,8,high
96,1974-02-01,4,high
97,1974-02-01,4,high
98,1974-03-01,14,high
99,1974-03-01,14,high
100,1974-04-01,10,high
101,1974-04-01,10,high
102,1974-05-01,5,high
103,1974-05-01,5,high
104,1974-06-01,5,high
105,1974-06-01,5,high
106,1974-07-01,9,high
107,1974-07-01,9,high
108,1974-08-01,12,high
109,1974-08-01,12,high
110,1974-09-01,9,high
111,1974-09-01,9,high
112,1974-10-01,11,high
113,1974-10-01,11,high
114,1974-11-01,9,high
115,1974-11-01,9,high
116,1974-12-01,7,high
117,1974-12-01,7,high
118,1975-01-01,10,high
119,1975-01-01,10,high
120,1975-02-01,8,high
121,1975-02-01,8,high
122,1975-03-01,7,high
123,1975-03-01,7,high
124,1975-04-01,4,high
125,1975-04-01,4,high
126,1975-05-01,9,high
127,1975-05-01,9,high
128,1975-06-01,14,high
129,1975-06-01,14,high
130,1975-07-01,8,high
131,1975-07-01,8,high
132,1975-08-01,18,high
133,1975-08-01,18,high
134,1975-09-01,13,high
135,1975-09-01,13,high
136,1975-10-01,7,high
137,1975-10-01,7,high
138,1975-11-01,1,high
139,1975-11-01,1,high
140,1975-12-01,11,high
141,1975-12-01,11,high
142,1976-01-01,10,high
143,1976-01-01,10,high
144,1976-02-01,8,high
145,1976-02-01,8,high
146,1976-03-01,4,high
147,1976-03-01,4,high
148,1976-04-01,4,high
149,1976-04-01,4,high
150,1976-05-01,7,high
151,1976-05-01,7,high
152,1976-06-01,8,high
153,1976-06-01,8,high
154,1976-07-01,18,high
155,1976-07-01,18,high
156,1976-08-01,8,high
157,1976-08-01,8,high
158,1976-09-01,12,high
159,1976-09-01,12,high
160,1976-10-01,7,high
161,1976-10-01,7,high
162,1976-11-01,5,high
163,1976-11-01,5,high
164,1976-12-01,15,high
165,1976-12-01,15,high
166,1977-01-01,7,high
167,1977-01-01,7,high
168,1977-02-01,7,high
169,1977-02-01,7,high
170,1977-03-01,9,high
171,1977-03-01,9,high
172,1977-04-01,11,high
173,1977-04-01,11,high
174,1977-05-01,7,high
175,1977-05-01,7,high
176,1977-06-01,7,high
177,1977-06-01,7,high
178,1977-07-01,9,high
179,1977-07-01,9,high
180,1977-08-01,11,high
181,1977-08-01,11,high
182,1977-09-01,9,high
183,1977-09-01,9,high
184,1977-10-01,9,high
185,1977-10-01,9,high
186,1977-11-01,6,high
187,1977-11-01,6,high
188,1977-12-01,11,high
189,1977-12-01,11,high
190,1978-01-01,6,high
191,1978-01-01,6,high
192,1978-02-01,9,high
193,1978-02-01,9,high
194,1978-03-01,11,high
195,1978-03-01,11,high
196,1978-04-01,11,high
197,1978-04-01,11,high
198,1978-05-01,18,high
199,1978-05-01,18,high
